age,sex,race,marital_status,education,employment,income,books_read_count,read_print_raw,read_audio_raw,read_ebook_raw,last_book_source,read_news,read_magazines,read_print,read_audio,read_ebook,reader_segment,is_digital_adopter
66,Male,Refused,Divorced,College graduate,Retired,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
46,Male,Native American/American Indian,Married,High school graduate,Employed full-time,"Less than $10,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
32,Male,Mixed race,Never been married,High school graduate,Employed full-time,"Less than $10,000",97,No,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes,0,1,1,Digital/Audio-only,1
27,Male,Mixed race,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,No,1,0,1,Hybrid,1
16,Female,Mixed race,Never been married,High school incomplete,Employed part-time,"$10,000 to under $20,000",97,Yes,Yes,No,Purchased the book,Yes,No,1,1,0,Hybrid,1
55,Female,Asian or Pacific Islander,Divorced,"Some college, no 4-year degree",Have own business/self-employed,"$40,000 to under $50,000",97,Yes,Yes,Yes,Purchased the book,No,No,1,1,1,Hybrid,1
63,Male,Black or African-American,Widowed,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,1,0,0,Print-only,0
60,Female,Black or African-American,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
50,Female,Black or African-American,Married,Post-graduate training/professional school after college,Employed part-time,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,Yes,No,1,0,1,Hybrid,1
29,Female,Black or African-American,Never been married,High school graduate,Employed part-time,"Less than $10,000",97,Yes,No,Yes,Borrowed the book from a friend or family member,No,No,1,0,1,Hybrid,1
23,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,1,0,0,Print-only,0
19,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",97,Yes,No,No,Got the book some other way,Yes,Yes,1,0,0,Print-only,0
16,Female,Black or African-American,Never been married,High school graduate,Student,"$10,000 to under $20,000",97,Yes,No,Yes,Borrowed the book from a library,No,Yes,1,0,1,Hybrid,1
89,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
